,document,score,review_score,most_words,Pos_Neu_Neg
9,루스티크는 대부분 빵종류를 맛보고구매할수있게 넉넉하게 시식이준비되어있어서 맘에들어요~ 직접맛보고구매하니 직원분께 안물어봐도되고 좀더 믿음직스러워요,4.0,0.8878,"[('구매', 2), ('루스', 1), ('티크', 1), ('대부분', 1), ('빵', 1), ('종류', 1), ('넉넉하게', 1), ('식이', 1), ('준비', 1), ('맘', 1)]",긍정
10,서초동 볼일있어서 갈때면 습관처럼 들리는 루스티크~ 운좋게 빵많이진열된 시간대에방문해서 못먹어봤던 빵도 모두 득템했어요 *^^*,3.0,0.8604,"[('빵', 2), ('서초동', 1), ('볼일', 1), ('있어서', 1), ('때', 1), ('습관', 1), ('루스', 1), ('티크', 1), ('운', 1), ('좋게', 1)]",긍정
11,문열고 들어갈떄마다 기분이 절로좋아지는 루스티크 ^^~진한 빵냄새가 정신못차리게만들어요~! 무염베이커리의 전문이니 담백함맛이 최고!,3.0,0.9803,"[('열', 1), ('떄', 1), ('기분', 1), ('절로', 1), ('루스', 1), ('티크', 1), ('진한', 1), ('빵', 1), ('냄새', 1), ('정신', 1)]",긍정
12,거칠표면속에 촉촉하고 부드러운 빵맛~ 무염이 맞나?싶을정도로 평소먹던빵맛과 크게차이가안나더라구요. 건강하고 곡물이나 달콤한 건과일이 듬뿍들어가있으니 식감도좋아요,3.0,0.9168,"[('빵맛', 2), ('표면', 1), ('속', 1), ('촉촉하고', 1), ('부드러운', 1), ('무염', 1), ('정도', 1), ('평소', 1), ('크게', 1), ('건강하고', 1)]",긍정
13,자연발효법으로 이스트를 최소화해 빵을 만들고 천연발효종으로 속이 편안한 건강빵을 만든다고하니 먹고먹을수있어요,4.0,0.9849,"[('빵', 2), ('자연', 1), ('발효', 1), ('법', 1), ('이스트', 1), ('최소', 1), ('화해', 1), ('발효종', 1), ('편안한', 1), ('건강', 1)]",긍정
14,천연발효종을 사용해서그런가 먹고나니 속이 정말편안하네요,4.0,0.9639,"[('발효종', 1), ('사용', 1), ('런가', 1), ('정말', 1), ('편안하네요', 1)]",긍정
15,시식빵들이 있는게 넘 좋아요. 다만 다 사고 싶어지는게 함정.ㅋㅋ,4.0,0.9405,"[('식빵', 1), ('있는게', 1), ('좋아요', 1), ('다만', 1), ('사고', 1), ('함정', 1)]",긍정
16,김영모 과자점 출신의 성시학 셰프가 운영하는 베이커리로 모든 빵을 유기농 밀가루와 천연발효종을 이용해 자연발효법으로 만든다네요.,5.0,0.4487,"[('김영모', 1), ('과자', 1), ('점', 1), ('출신', 1), ('시학', 1), ('셰프', 1), ('운영', 1), ('베이커리', 1), ('모든', 1), ('빵', 1)]",중립
17,흔하디 흔한 빵집과는 달라요~ 모든빵이 건강한식재료로 만들었으니!!,4.0,0.3463,"[('하디', 1), ('흔한', 1), ('빵집', 1), ('달라', 1), ('빵', 1), ('건강', 1), ('한식', 1), ('재료', 1)]",중립
18,밥대용으로 먹으러오는 사람이 꽤 많네요~ 점심시간에방문했었는데 사람들이 바글바글했어요!,5.0,0.8882,"[('사람', 2), ('밥', 1), ('대용', 1), ('꽤', 1), ('많네요', 1), ('점심시간', 1), ('방문', 1)]",긍정
19,통밀의 맛을 감추기 위해서 맛있는 재료들을 듬뿍 넣은것 같아요. 건강빵주제에 맛있다니ㅋㅋㅋㅋ,5.0,0.9858,"[('통밀', 1), ('맛', 1), ('위해', 1), ('맛있는', 1), ('재료', 1), ('듬뿍', 1), ('같아요', 1), ('건강', 1), ('빵', 1), ('주제', 1)]",긍정
20,호밀을 처음접하는분이나 요런 건강빵 발효빵에 부담을가지신분이라면 함유량이 다른빵이 있어서 부담없어서 좋을거같아요 랄라,5.0,0.9789,"[('빵', 3), ('부담', 2), ('호밀', 1), ('처음', 1), ('분', 1), ('요런', 1), ('건강', 1), ('발효', 1), ('가지', 1), ('신분', 1)]",긍정
21,빵종류가 정말다양하고 낭낭한 인심 푸짐한 시식들까지 맛보고 구입할수있어서 조타조타 딱조타,4.0,0.965,"[('타', 2), ('빵', 1), ('종류', 1), ('정말', 1), ('다양하고', 1), ('낭낭', 1), ('인심', 1), ('짐', 1), ('시식', 1), ('구입', 1)]",긍정
22,깜빠뉴 바삭한 껍대기와 쫄깃하면서도 촉촉한 속살 거기에 호두까지 몽창들어가있으면 최공!!!,5.0,0.7825,"[('깜빠뉴', 1), ('바삭', 1), ('껍대기', 1), ('쫄깃', 1), ('촉촉한', 1), ('살', 1), ('거기', 1), ('호두', 1), ('몽창', 1), ('최공', 1)]",긍정
23,빵없이는 못사는데 그나마 건강 챙겨가면서 안심하고 들릴수있는 빵집이라서 고마울 정도에요^^,4.0,0.9268,"[('빵', 1), ('없이는', 1), ('건강', 1), ('안심', 1), ('빵집', 1), ('고마울', 1), ('정도', 1)]",긍정
24,생각지도 못한 다양한 과일들이 들어간 빵들이 많다. 입맛을 깨워주는 곳^^,4.0,0.8803,"[('생각', 1), ('지도', 1), ('못', 1), ('다양한', 1), ('과일', 1), ('빵', 1), ('많다', 1), ('입맛', 1), ('곳', 1)]",긍정
25,부재료 충실하고 맛도좋아서그런가 빵가격이 다소비싼거 같아요…..,4.0,0.3456,"[('부', 1), ('재료', 1), ('충실하고', 1), ('맛', 1), ('좋아서', 1), ('런가', 1), ('빵', 1), ('가격', 1), ('다소', 1), ('비싼거', 1)]",중립
26,"맛, 건강, 양. 이 세가지를 충족하는 빵집은 얼마 없지!!",3.0,0.5982,"[('맛', 1), ('건강', 1), ('양', 1), ('이', 1), ('가지', 1), ('충족', 1), ('빵집', 1), ('얼마', 1), ('없지', 1)]",중립
27,빵맛이 아주 좋아요,5.0,0.9457,"[('빵맛', 1), ('아주', 1), ('좋아요', 1)]",긍정
28,빵을 잘못고른건지 기대엄청 많이했는데 좀많이실망…..,3.0,0.0035,"[('빵', 1), ('기대', 1), ('좀', 1), ('실망', 1)]",부정
29,시식맛보면 안사서 나갈수가 없어요…ㅋㅋㅋㅋ,5.0,0.3236,"[('시식', 1), ('없어요', 1)]",부정
30,통밀칠공 시큼하면서도 구수한 빵과 짭쪼름한 치즈의 조화도 훌륭하고 거기에 상큼한 크렌베리까지,5.0,0.9032,"[('통밀', 1), ('공', 1), ('시큼하면서도', 1), ('구수한', 1), ('빵', 1), ('짭쪼름', 1), ('치즈', 1), ('조화', 1), ('훌륭하고', 1), ('거기', 1)]",긍정
31,뭘로 만들어져있는지 싹 다 나와있던제 쥔장의 자부심이 느껴졌다!!,3.0,0.3269,"[('뭘', 1), ('싹', 1), ('제', 1), ('장의', 1), ('자부심', 1)]",부정
32,주인이 디게 정직한 사람인거 같아요. 메뉴에 재료들을 꼼꼼히 써놨더라구요.,4.0,0.8209,"[('주인', 1), ('정직한', 1), ('사람', 1), ('같아요', 1), ('메뉴', 1), ('재료', 1), ('꼼꼼히', 1)]",긍정
33,다 그냥 ~통밀. ~쌀. 맛없을 줄 알았는데 시식해보니 맛있어요!! 반전!!,3.0,0.5855,"[('그냥', 1), ('통밀', 1), ('쌀', 1), ('맛없을', 1), ('줄', 1), ('시식', 1), ('맛있어요', 1), ('반전', 1)]",중립
34,맛있어요 ㅎㅎ,5.0,0.9685,"[('맛있어요', 1)]",긍정
35,"전체적으로 무난무난했지만 정말맛있다!라는 느낌은 없었떤거같은,……",5.0,0.9277,"[('무난', 2), ('전체', 1), ('정말', 1), ('맛있다', 1), ('느낌', 1), ('없었', 1), ('같은', 1)]",긍정
36,정직하게 큼직큼직한 빵크기!!! 작은빵 1개가격이 살짝 높아도 모든재료는 유기농이라 안심하고먹고있어요~,4.0,0.9779,"[('빵', 2), ('정직하게', 1), ('큼직큼직한', 1), ('크기', 1), ('작은', 1), ('개', 1), ('가격', 1), ('살짝', 1), ('높아도', 1), ('재료', 1)]",긍정
37,안에 앉아먹고 갈 수있는 자리가있어서 굿! 즉석에서 갓구워나온 빵도먹고 가족들을위해 구매도하고^^,3.0,0.9694,"[('안', 1), ('수', 1), ('있는', 1), ('자리가있어서', 1), ('굿', 1), ('즉석', 1), ('워', 1), ('빵', 1), ('가족', 1), ('위해', 1)]",긍정
38,지하철 역에서 가까운 천연발효의 건강빵집!,3.0,0.6395,"[('지하철', 1), ('역', 1), ('가까운', 1), ('발효', 1), ('건강', 1), ('빵집', 1)]",중립
39,발효종이라 그런지 더 맛있는 것 같아요,5.0,0.7566,"[('발효종', 1), ('그런지', 1), ('더', 1), ('맛있는', 1), ('것', 1), ('같아요', 1)]",긍정
40,빵들이 참 담백하고 맛있는게 건강한맛이 나요~!!!,5.0,0.9832,"[('빵', 1), ('담백하고', 1), ('맛있는게', 1), ('건강한', 1), ('맛', 1)]",긍정
41,건강빵집이라고해서 케이크같은건 종류가 많이없을줄알았는데 케이크종류도 정말다양하니 다 먹음직스러워보여요,5.0,0.9758,"[('케이크', 2), ('종류', 2), ('건강', 1), ('빵집', 1), ('같은건', 1), ('없을줄', 1), ('정말', 1), ('다양하니', 1), ('먹음', 1), ('직', 1)]",긍정
42,모양은 거칠고 투박하지만 씹을수록 매력있는빵을 만든다더니 정말 먹을수록 매력있어요 :D,5.0,0.9756,"[('매력', 2), ('모양', 1), ('투', 1), ('박하', 1), ('있는', 1), ('빵', 1), ('정말', 1), ('있어요', 1)]",긍정
43,아토피있는 아이에게 부담감없이 먹일수있어서 좋아요 ^^,4.0,0.9735,"[('아토피', 1), ('있는', 1), ('아이', 1), ('부담', 1), ('감', 1), ('좋아요', 1)]",긍정
44,"무화과와 블루베리, 견과류가 아낌없이 박혀있어서 통밀이라는 것도 잊고 맛있게 먹을 정도~!!!",5.0,0.7838,"[('무화과', 1), ('블루베리', 1), ('견과류', 1), ('통밀', 1), ('것', 1), ('맛있게', 1), ('정도', 1)]",긍정
45,빵 가짓수가 많아서 구경먼저하게되요 ㅎㅎㅎ 하나하나 재료출저도 섬세하게 적겨있는센스 ~*,4.0,0.9016,"[('하나', 2), ('빵', 1), ('가짓수', 1), ('많아서', 1), ('먼저', 1), ('재료', 1), ('도', 1), ('섬세하게', 1), ('적', 1), ('센스', 1)]",긍정
46,빵마다 재료가 다 써져있어요~완전 안심. 센스 굿!,3.0,0.9767,"[('빵', 1), ('재료', 1), ('완전', 1), ('안심', 1), ('센스', 1), ('굿', 1)]",긍정
47,종류도다양하고 낙낙한 시식빵크기~ 맛보면 안살수가없는게 함정…,4.0,0.7875,"[('종류', 1), ('다양하고', 1), ('낙낙', 1), ('식빵', 1), ('크기', 1), ('없는게', 1), ('함정', 1)]",긍정
48,살짝 골목에있어서 동네빵집같아요,4.0,0.6398,"[('살짝', 1), ('골목', 1), ('있어서', 1), ('빵집', 1), ('같아요', 1)]",중립
49,"거칠고 투박한 빵모양 이지만, 씹을수록 각각의 매력을 표출하는 맛들",3.0,0.7986,"[('투', 1), ('박한', 1), ('빵', 1), ('모양', 1), ('각각', 1), ('매력', 1), ('표', 1), ('출하', 1), ('맛', 1)]",긍정
50,무려 천연 발효 건강빵이라는!! 가격대 살짝 있지만건강을 위해서라면!!,4.0,0.8742,"[('건강', 2), ('무려', 1), ('천연', 1), ('발효', 1), ('빵', 1), ('가격', 1), ('살짝', 1), ('있지만', 1), ('위', 1)]",긍정
51,빵 크기도 어마하고 집에 가져오는데 묵직…ㅋㅋ 양심있는 빵집이네요^^,4.0,0.3988,"[('빵', 1), ('크기', 1), ('어마', 1), ('집', 1), ('묵직', 1), ('양심', 1), ('있는', 1), ('빵집', 1), ('요', 1)]",중립
52,"숨은 빵메뉴..""앙버터!!!"" 진짜 빵매니아들은 필수로 알고있어야하는 빵이름!!",5.0,0.9266,"[('빵', 3), ('메뉴', 1), ('버터', 1), ('진짜', 1), ('매니아', 1), ('필수', 1), ('이름', 1)]",긍정
53,건강한식재료라해서 단맛이 덜하고 푸석푸석한 식감이 아닌! 평소먹던빵이랑 별반차이없는 맛!,5.0,0.0911,"[('건강', 1), ('한식', 1), ('재료', 1), ('단맛', 1), ('덜하고', 1), ('푸석푸석한', 1), ('식감', 1), ('아닌', 1), ('평소', 1), ('빵', 1)]",부정
54,건강빵=맛없다는 공식을 깨줘서 느무 좋다. 빵순이가 건강해질 수 있는 비결.ㅋㅋㅋ,3.0,0.9293,"[('빵', 2), ('건강', 1), ('맛없다는', 1), ('공식', 1), ('느무', 1), ('좋다', 1), ('순이', 1), ('건강해질', 1), ('수', 1), ('있는', 1)]",긍정
55,"이른아침부터 오픈이라, 출근길에 아침대용으로 먹으려고 매일같이들리는곳 ^^",3.0,0.7445,"[('아침', 2), ('오픈', 1), ('출근길', 1), ('대용', 1), ('매일', 1), ('곳', 1)]",긍정
56,요즘 웰빙으로 먹는데 맛있는 건강빵 찾아서 너무 행복해요~^^,4.0,0.9937,"[('요즘', 1), ('웰빙', 1), ('맛있는', 1), ('건강', 1), ('빵', 1), ('행복해요', 1)]",긍정
57,부담을 주지 않는 담백한 맛의 건강 빵을 위주로 만듭니다.,5.0,0.9366,"[('부담', 1), ('주지', 1), ('담백한', 1), ('맛', 1), ('건강', 1), ('빵', 1), ('위주', 1), ('만듭니', 1)]",긍정
58,건강빵메뉴들은 앞에 맛볼수있도록 작게잘려져있어요! 먹어보고사니 선택의실수도 없을듯!,3.0,0.6058,"[('건강', 1), ('빵', 1), ('메뉴', 1), ('앞', 1), ('작게', 1), ('보고', 1), ('선택', 1), ('실수', 1), ('없을듯', 1)]",중립
59,빵종류가 아주많거나 가게가 그리 넓진않고 골목길에 있어 주차는 어려웁니다 ㅋㅋ,3.0,0.8975,"[('빵', 1), ('종류', 1), ('아주', 1), ('많거나', 1), ('가게', 1), ('넓진', 1), ('골목길', 1), ('있어', 1), ('주차', 1), ('어려웁니', 1)]",긍정
60,통밀답게 딱딱한 것도 있고 쫄깃하고 부드러운 빵도 있네요.,4.0,0.6555,"[('통밀', 1), ('답', 1), ('딱딱한', 1), ('것', 1), ('있고', 1), ('쫄깃', 1), ('부드러운', 1), ('빵', 1), ('있네요', 1)]",중립
61,시원한 음료도 같이있어요!! 까페못지않게 테이블자리도 분위기있고 ^^,5.0,0.9593,"[('시원한', 1), ('음료', 1), ('같이있어요', 1), ('까페', 1), ('못지않게', 1), ('테이블자리', 1), ('분위기', 1), ('있고', 1)]",긍정
62,재료와 맛에 충실한편이라 빵가격이 다소 높은가격대~ 그래도 다음번에 또 들리면 다른빵메뉴 도전하고싶어요!,4.0,0.1116,"[('빵', 2), ('가격', 2), ('재료', 1), ('맛', 1), ('충실', 1), ('한편', 1), ('다소', 1), ('높은', 1), ('다음', 1), ('번', 1)]",부정
66,호밀바게트  깔끔했던 편이에용,3.0,0.911,"[('호밀', 1), ('바게트', 1), ('깔끔했던', 1), ('편이', 1), ('용', 1)]",긍정
67,뜻밖에 맛집 발견,4.0,0.791,"[('뜻', 1), ('맛집', 1), ('발견', 1)]",긍정
68,맛집이라고 하기엔 살짝 부족하지만 그래도 만족스러운집,4.0,0.9528,"[('맛집', 1), ('살짝', 1), ('부족하지만', 1), ('만족스러', 1), ('운집', 1)]",긍정
69,몽블랑 대체로 좋았었어요,4.0,0.8718,"[('몽블랑', 1), ('대체로', 1), ('좋았었어요', 1)]",긍정
70,좋았었음,4.0,0.8948,"[('좋았었음', 1)]",긍정
71,몽블랑 정말 맘에 들었던거 같아요,3.0,0.9466,"[('몽블랑', 1), ('정말', 1), ('맘', 1), ('같아요', 1)]",긍정
72,몽블랑 대체로 맛나요,3.0,0.8089,"[('몽블랑', 1), ('대체로', 1), ('맛', 1), ('요', 1)]",긍정
0,미니바게트랑 스콘이랑 몽키브레드 샀는데 모두 하나같이 맛있었어요! 엄청 많이 산 것도 아닌데 직원분이 서비스로 다른 빵 조각을 같이 넣어주셨어요. 그 빵도 너무 맛있었어요ㅠㅠㅠ바게트같은 빵은 금방 딱딱해져서 바로 먹으니까 너무 맛있더라고요! 속이 엄청 쫄깃쫄깃 했어요! 더 살걸 후회되더라고요 ㅋㅋ 가면 외국에서 식사대용으로 쓰는 커다란 빵들도 많아요!방문하실 분들은 조금 일찍 가세요 방문하는 분들이 많으면 인기 많은 빵은 소진되기도 하더라고요ㅠ,4.4,0.9583,"[('빵', 5), ('바게트', 2), ('맛있었어요', 2), ('방문', 2), ('분', 2), ('미니', 1), ('스콘', 1), ('몽키', 1), ('브레드', 1), ('모두', 1)]",긍정
1,어떤 메뉴를 먹어도 실패 없음. 하지만 그중에 바게트는 단연 최고.,4.2,0.9852,"[('어떤', 1), ('메뉴', 1), ('실패', 1), ('없음', 1), ('중', 1), ('바게트', 1), ('단연', 1), ('최고', 1)]",긍정
0,에그타르트 레전드 맛집!!! 원래 집근처에 먹던 곳 있었는데 여기서 먹고 나서 이제 안가요 까눌레랑 스콘도 맛있었어용 브라우니 쿠키가 의외의 존맛템이었어요♡ 직원분들도 엄청 친절하셨습니당 그리고 완전 잘생기셨어요…🫠,3.8,0.9951,"[('에그타르트', 1), ('레전드', 1), ('맛집', 1), ('원래', 1), ('집', 1), ('근처', 1), ('곳', 1), ('있었는데', 1), ('여기', 1), ('이제', 1)]",긍정
