,document,score,review_score,most_words,Pos_Neu_Neg
10,여러모로 괜찮아요,3.0,0.8831,"[('모로', 1), ('괜찮아요', 1)]",긍정
11,진짜 또 가고 싶은 것 같아요,4.0,0.8664,"[('진짜', 1), ('또', 1), ('것', 1), ('같아요', 1)]",긍정
12,맛있어요,3.0,0.9502,"[('맛있어요', 1)]",긍정
13,여러모로 맘에 든 것 같아요,3.0,0.9312,"[('모로', 1), ('맘', 1), ('것', 1), ('같아요', 1)]",긍정
14,그냥 가볼만했음,3.0,0.0639,"[('그냥', 1)]",부정
0,치즈가 주륵 흘러내리고 고소한 번이랑 고기랑 한 입 크게 먹으면 ..존맛,2.5,0.8506,"[('치즈', 1), ('주륵', 1), ('고소한', 1), ('번', 1), ('고기랑', 1), ('입', 1), ('크게', 1), ('존맛', 1)]",긍정
1,패티가 완전 도톰하니 육즙이 퐝..♥ 브루클린더버거조인트 보다? 더 맛난듯!,2.5,0.8988,"[('더', 2), ('패티', 1), ('완전', 1), ('도톰하니', 1), ('육즙', 1), ('퐝', 1), ('브루클린', 1), ('버거', 1), ('조인트', 1), ('맛', 1)]",긍정
2,가볼만했던 것 같다,3.0,0.261,"[('것', 1), ('같다', 1)]",부정
3,토스트   추천할만한거 같다,3.0,0.7642,"[('토스트', 1), ('추천', 1), ('거', 1), ('같다', 1)]",긍정
4,먹을만한 편이네요,3.0,0.5816,"[('편이', 1)]",중립
5,정말 맛있는 것 같아요,3.0,0.9827,"[('정말', 1), ('맛있는', 1), ('것', 1), ('같아요', 1)]",긍정
6,토스트  맛있었던 편이에요,3.0,0.8754,"[('토스트', 1), ('맛있었던', 1), ('편이', 1)]",긍정
7,체리코크가 더 이상 들어오지 않는다고 하네요...,3.5,0.2888,"[('체리', 1), ('코크', 1), ('더', 1), ('이상', 1)]",부정
8,서초쪽에서 햄버거가 생각날때 가볼만한곳ㅋ,3.5,0.7602,"[('서초', 1), ('쪽', 1), ('햄버거', 1), ('때', 1), ('곳', 1)]",긍정
9,진짜 또 갈거에요,3.0,0.6138,"[('진짜', 1), ('또', 1)]",중립
10,세트메뉴 감자를 베이컨 치즈 프라이로 업그레이드 하고 싶은데.. 안된다네요 추가금 내더라도 하고싶은데,3.5,0.0362,"[('세트', 1), ('메뉴', 1), ('감자', 1), ('베이컨', 1), ('치즈', 1), ('프라이', 1), ('업그레이드', 1), ('안된다네요', 1), ('추가', 1), ('금', 1)]",부정
11,베이컨 치즈프라이 맛있어요,3.5,0.922,"[('베이컨', 1), ('치즈', 1), ('프라이', 1), ('맛있어요', 1)]",긍정
12,버거 짱 두툼 +_+b 맛도조음 ㅋ,3.5,0.949,"[('버거', 1), ('짱', 1), ('두툼', 1), ('맛', 1), ('조음', 1)]",긍정
13,Monday휴무인데요,3.5,0.5617,"[('휴무', 1), ('요', 1)]",중립
14,햄버거 먹을때 들고 먹을 케이스 종이 달라고 하면 줍니다!!,3.5,0.4767,"[('햄버거', 1), ('때', 1), ('케이스', 1), ('종이', 1), ('달라', 1)]",중립
15,전화번호가 잘못 적혀있네요. 02-586-9200 입니다!!,3.5,0.1146,"[('전화번호', 1), ('잘못', 1), ('입니다', 1)]",부정
16,메인메뉴인 길벗버거세트 강츄!!! 일욜엔 휴무래요,3.5,0.4009,"[('메인', 1), ('메뉴인', 1), ('길벗', 1), ('버거', 1), ('세트', 1), ('강츄', 1), ('일욜', 1), ('휴무', 1), ('요', 1)]",중립
17,전프레지던트세트 강추요. 감자튀김은.정말 최고임!!!,3.5,0.9744,"[('프레지던트', 1), ('세트', 1), ('강추', 1), ('감자', 1), ('튀김', 1), ('정말', 1), ('최고', 1), ('임', 1)]",긍정
18,솔까 좀 느끼.....,3.5,0.6941,"[('솔', 1), ('좀', 1)]",긍정
0,[ 맛 ★★★★☆ | 서비스 ★★★★★ | 분위기 ★★★☆☆ ] 햄버거를 별로 즐기지 않는 나에게도 슈룸버거 맛있긴 맛있다😅 쉐이크는 한 컵 다 마시기에는 너무 달다ㅜ(니글니글) 쉐이크가 느끼할 때는 감튀+치즈소스로 처방하자^^ 맛은 있지만 그만큼 가격은 사악하다😊,4.0,0.7887,"[('맛', 2), ('쉐이크', 2), ('서비스', 1), ('분위기', 1), ('햄버거', 1), ('별로', 1), ('나', 1), ('슈룸', 1), ('버거', 1), ('맛있긴', 1)]",긍정
1,처음먹었을때 신세계를접한 수제버거 쉑쉑버거! 한국에 처음들어왔다했을때 저거먹으러 부산에서 서울까지다녀왔어용ㅋㅋ 두시간땀뻘뻘흘리며 기다려서 처음먹자마자 느낀건 진짜인생버거구나 싶었어요 일단 빵이너무쫀득하고 고기도짭쪼름하면서 모든조화가 완벽했던!!! 밀크쉐이크에 감자튀김 찍어먹는것도 맛있었어요 여러군데 체인이 생기고 다시방문했을때 맛이좀바뀌긴했지만 여전히 맛있는 쉑쉑버거!,5.0,0.9129,"[('처음', 3), ('때', 3), ('버거', 3), ('쉑쉑', 2), ('신세계', 1), ('접', 1), ('수제', 1), ('한국', 1), ('거', 1), ('부산', 1)]",긍정
2,한국의 보통 햄버거 프렌차이즈와 비교해서 진짜 서양식 버거가 무엇인지 알 수 있었당 좀 짜서 감자튀김과 쉐이크 없이는 못 먹을 맛이었지만 패티도 두툼하고 구성도 실해서 굉장히 만족했당 근데 세트 가격이 한국에 비해 넘 비싸서 그냥 가볼만 할 듯,4.0,0.7802,"[('한국', 2), ('보통', 1), ('햄버거', 1), ('프렌차이즈', 1), ('비교', 1), ('진짜', 1), ('양식', 1), ('버거', 1), ('무엇', 1), ('알', 1)]",긍정
3,너무 유명해서 꼭 먹어 봐야겠다구 생각한 버거 중 하나인 쉑쉑 ㅜㅅㅠ 한국에 생겼다구 해서 가봐야지 가봐야지 하다가 이제서야 갔네욤 감튀+쉐이크 조합이 그렇게 좋다구 해서 속는단 생각으로 한 번 먹어나 보자 했는데 단짠의 완성 여기에 있구뇨... 넘 맛있게 잘 먹었어욘 ㅎㅎ,5.0,0.9947,"[('생각', 2), ('유명해서', 1), ('꼭', 1), ('버거', 1), ('중', 1), ('하나', 1), ('쉑쉑', 1), ('한국', 1), ('이제', 1), ('갔네욤', 1)]",긍정
4,shackburger은패티한장 토마토 치즈 양상추 소스. 기본버거로 굉장히 심플한데 엄청 맛있음. 추운날씨에 웨이팅을 안짜증나게 만들어주는 맛이었움👍  패티의 특유의 비프향도 만족 😍  shackstack은 쉑버거랑 똑같은데 포토벨로버섯을 튀겨 치즈를 묻힌것이 들어감. 버섯향이 진해 버섯을 안좋아하는 사람을 싫어하겠지만 나는 진한향이 좋았움~~😉  cheesefries은 얇은 크링클컷 감자튀김이 쉑쉑버거의 시그니처지~?!ㅋㅋㅋ감자에 치즈. 그위에 통후추. 그리고 달큰한머스타드가 아닌 세콤한 머스타드의 조합은 최고였움😀 케찹을 쟁반밑 종이가 아닌 조그만한 플라스틱케이스의 배려에 마음까지 따스해짐😛 shackstyle은 바닐라아이스크림에 커피콩초콜릿 캐러멜소스에 뭉쳐져있었음. 캐러멜소스에 소금이 들어간것처럼 짜짜름했음~😅 신기!  대충찍어도 사진도 잘받음ㅋㅋㅋ👍  부과세따로여서 돈이 더올라가지만 가격값함!!,5.0,0.5914,"[('은', 4), ('치즈', 3), ('소스', 3), ('움', 3), ('향', 3), ('버섯', 3), ('패티', 2), ('감자', 2), ('머스타드', 2), ('아닌', 2)]",중립
5,한동안은 정말 유명했기 때문에 천천히 시각을 잘 조절해서 가지 않는다면 길게 줄을 서서 기다릴 수 있습니다.  버거의 가격은 조금 비싸다고 생각할 수 있습니다.  하지만 충분히 독특하고 한 번쯤 먹어볼만한 정도의 음식입니다.  또한 제 개인적인 의견으로는 이 매장의 백미는 밀크쉐이크입니다.  이거는 진심으로 맛있으니 꼭 먹어보도록 해요.  또한 감자튀김을 먹을거라면 치즈소스를 추가해서 먹도록 하세요.  감사튀김은 일반적인 보통 감자튀김과 같지만 치즈소스가 날개를 달아줍니다.,4.0,0.9639,"[('튀김', 3), ('수', 2), ('있습니다', 2), ('입니다', 2), ('또한', 2), ('감자', 2), ('치즈', 2), ('소스', 2), ('동안', 1), ('정말', 1)]",긍정
6,"뉴욕의 유명 버거 체인답게 정직한 미국버거 맛을 느낄수 있는 곳. 치즈가 들어간 더블쉑과 머쉬룸버거를 먹었는데, 쥬이시한 패티랑 신선한 채소도 물론 좋지만, 버거의 생명인 부드러운 번이 포인트! 머쉬룸 버거는 채식버거라고 믿을수없을정도로 표고버섯의 풍미와 치즈의 고소함이 좋다. 치즈 프라이도 놓칠수 없는 별미!",5.0,0.9544,"[('버거', 5), ('치즈', 3), ('뉴욕', 1), ('유명', 1), ('체인', 1), ('답', 1), ('정직한', 1), ('미국', 1), ('맛', 1), ('있는', 1)]",긍정
7,강남에서 핫하디 핫한 쉑쉑버거!! 요즘에는 그나마 줄이 좀 줄었지만 꼭 먹어봐야하는 버거! 일단 4시에 갔는데도 대기를... 주문은 쉑스택과 쉑버거 치즈후라이 솔티드카라멜쉐이크까지ㅎㅎ 쉑스택이 만원이 훌쩍넘는가격이지만 진짜진짜 맛나요...! 고기패티랑 버섯패티까지 영롱하게 크기는 롯데리아버거정도...? 솔찍히 하나먹어선 배는 안찰꺼같아요ㅎㅎ 근데 퀄리티가...ㄷㄷ 솔티드카라멜쉐이크는 단짠단짠의 정석! 뻑뻑한 농도가 음료보단 아이스크림에 가깝다느낄정도? 감자찍어먹어도 색다른맛을ㅎㅎ 하지만 가성비가 좋다고는 못하겠어요 다른 수제버거집만한.. 워낙  유명세가 있어서 한번먹어보는? 한번은 꼭 가볼만해요!,4.0,0.9799,"[('버거', 5), ('핫', 2), ('꼭', 2), ('쉑스택', 2), ('솔티드', 2), ('카라멜', 2), ('쉐이크', 2), ('맛', 2), ('패티', 2), ('정도', 2)]",긍정
8,쉬룸버거최고에요!!!!!!!!! 또먹고싶지만 사람이 항상 많은 쉑쉑....,5.0,0.9726,"[('쉬룸', 1), ('버거', 1), ('최고', 1), ('또', 1), ('사람', 1), ('항상', 1), ('많은', 1), ('쉑쉑', 1)]",긍정
0,맛있는데 비쌈.,2.7,0.6848,"[('맛있는데', 1), ('비쌈', 1)]",긍정
1,예전엔 맛있었는데 오랜만에 가니까 좀 싱거웠음가격대비 맛은...,4.0,0.5432,"[('예전', 1), ('맛있었는데', 1), ('만', 1), ('좀', 1), ('싱거웠음', 1), ('가격', 1), ('대비', 1), ('맛', 1)]",중립
2,직원분이 너무 친절하심 근데 주문한 음식 나오는게 너어무......... 느림,3.4,0.6697,"[('직원', 1), ('친절하', 1), ('심', 1), ('주문', 1), ('음식', 1), ('너', 1), ('무', 1), ('느림', 1)]",긍정
3,영업 시간 잘못써졌어요.밤 10시에 닫고,3.3,0.5343,"[('영업', 1), ('시간', 1), ('밤', 1)]",중립
4, 9시 20분인가 넘으면 포장만 된대서 그냥 나왔어요.길 건너 슈퍼두퍼는 밤 11시까지 해요.,4.6,0.1625,"[('포장', 1), ('대서', 1), ('그냥', 1), ('길', 1), ('건너', 1), ('슈퍼', 1), ('밤', 1), ('해', 1)]",부정
5,바다건너온 미국브랜드 특인지는 모르겠는데,3.7,0.496,"[('바다', 1), ('미국', 1), ('브랜드', 1), ('특인', 1)]",중립
6, 버거가 몇개 팔릴때마다 숲에 나무를 하나씩 심는다는 광고를 틀어준다. 숲 입장에선 이♪♬~들이 그냥 사업을 접는게 베스트일텐데…라는 발칙한 생각을 해본다. 한손에 쉑쉑 한손에 스벅을 들면 품격있는 현대인으로써 지구를 위해 한건했다는 느낌을 받을수있다.기본 쉑버거는 균형잡힌 맛있는 수제버거의 맛이 난다. 맛있는 수제버거의 평균선에 서있는 듯한 느낌을 받았다. 근데 가격이 그거치고는 너무 비싸다 아마 숲에 심을 나무를 사야해서 그런것같다.스모크쉑은 훈연된 베이컨 조각들이 들어있다. 스모키한 향은 좋지만 바싹 굽는 조리법 탓에 너무 뻣뻣해서 식감 면에서는 개인적으로는 탈락이다. 버거에 쥐포를 넣어먹은걸 좋아하는 사람들에겐 적극 추천하고싶다. 역시나 이 버거도 나무값이 들어있어서 가격이 상당하다.슈룸버거나 쉑스택에는 튀겨진 버섯이 들어가는데 놀랍게도 다져지거나 갈린것이 아닌 버섯 대가리가 통째로 튀겨져있다. 버거끈이 꽤 긴 나지만 이 질긴 버섯을 버거의 다른 재료와 함께 적정량을 잘라내어 씹는것은 어려운 일이었다. 결국 버섯이 통째로 따라나와버려 버섯국물을 질질 흘리는 불상사가 발생하곤 한다. 이 버섯은 품격있는 깨시민이고만 싶은 쉑쉑버거 고객의 니즈에 어긋나는 재료가 아닌가 싶다. 맛을 표현하고싶은데 버거 따로 버섯 따로 먹어서 섞인 맛은 잘 모르겠다.새로나온 고추장치킨버거에 대해 한마디 하겠다. 당신이 무인도에 표류되었는데 먹을게 고추장치킨버거와 바닷물밖에 없다면 바닷물을 먹도록 하자. 왜냐하면 이 버거는 바닷물보다 염도가 높다.,3.0,0.0075,"[('버거', 12), ('버섯', 7), ('이', 5), ('숲', 3), ('나무', 3), ('맛', 3), ('바닷물', 3), ('손', 2), ('쉑쉑', 2), ('품격', 2)]",부정
7,맛이 가격을 못따라감.반값 버거킹보다 맛이 별로.더러운 쓰레기통은 덤,4.0,0.0128,"[('맛', 2), ('가격', 1), ('반값', 1), ('버거킹', 1), ('별로', 1), ('더러운', 1), ('쓰레기통', 1), ('덤', 1)]",부정
8,초창기랑 맛이 너무 다름다른 선택지가 많아졌다,2.4,0.4245,"[('초창', 1), ('기', 1), ('맛', 1), ('다름', 1), ('다른', 1), ('선택', 1)]",중립
9,쉑버거 먹었는데 고기 너무 뻑뻑해요. 밀크쉐이크랑 감자튀김 먹어보려고 갔어요. 감자튀김이 너무 짜요.,4.1,0.0052,"[('감자', 2), ('튀김', 2), ('쉑', 1), ('버거', 1), ('고기', 1), ('뻑뻑', 1), ('밀크쉐이크', 1)]",부정
10,맛이 왜 변했어요? 예전에 맛있었는데 맛이 바뀌었어요 ㅠ 엄청 짜고 퀄이 낮아짐,3.4,0.1391,"[('맛', 2), ('왜', 1), ('변했어요', 1), ('예전', 1), ('맛있었는데', 1), ('퀄', 1)]",부정
11,처음 먹었을 때 따끈하고 너무 맛있었는데 그 후 방문땐 그냥 그랬음,4.3,0.8464,"[('처음', 1), ('때', 1), ('따끈하고', 1), ('맛있었는데', 1), ('그', 1), ('후', 1), ('방문', 1), ('땐', 1), ('그냥', 1), ('그랬음', 1)]",긍정
12,비싸고 고냥고럼.가격대비 맛이 못따라옴. 고냥고냥.,4.6,0.0217,"[('고', 2), ('비싸고', 1), ('냥', 1), ('럼', 1), ('가격', 1), ('대비', 1), ('맛', 1)]",부정
13,자주 들리는 곳,5.0,0.8232,"[('자주', 1), ('곳', 1)]",긍정
14,맛있어요!!,4.1,0.9502,"[('맛있어요', 1)]",긍정
15,오랜만에 먹으니까 왤케 맛있지….프라이에 소금 꼭 치세요 꼭,2.6,0.9899,"[('꼭', 2), ('만', 1), ('왤케', 1), ('맛있지', 1), ('프라이', 1), ('소금', 1)]",긍정
16,감자튀김이 미치게 짜지만 쉑스텍은 홀리한 맛입니다 사실 감튀도 맛있음,3.9,0.3079,"[('감자', 1), ('튀김', 1), ('미치게', 1), ('쉑스텍', 1), ('홀리', 1), ('맛', 1), ('입니다', 1), ('사실', 1), ('감', 1), ('맛있음', 1)]",부정
17,2년전에 먹었을땐 소금버거? 라 할정도로 짰는데,3.8,0.4989,"[('땐', 1), ('소금', 1), ('버거', 1), ('정도', 1)]",중립
18, 이젠 많이 괜찮아졌더라고요. 쉑버거 하나만으로도 배부르게 잘먹었습니다.,3.7,0.9467,"[('젠', 1), ('괜찮아졌더라고요', 1), ('쉑', 1), ('버거', 1), ('하나', 1), ('배부르게', 1)]",긍정
19,버거는버거킹,4.6,0.2568,"[('버거', 1), ('버거킹', 1)]",부정
20,맛있기야 하다만 이 가격에 먹을 바엔 수제버거집 가는게..,4.0,0.8979,"[('맛있기야', 1), ('이', 1), ('가격', 1), ('바', 1), ('수제', 1), ('버거', 1), ('집', 1)]",긍정
21,햄버거 번 이렇게 맛없는곳은 처음임 맥도날드보다 최악일지도?그리고 서비스 교육도 다시 시켜야할듯 띨빵한 남자직원들만 있어서 주문 두번하게 만듦,4.0,0.0033,"[('햄버거', 1), ('번', 1), ('맛없는', 1), ('곳', 1), ('처음', 1), ('임', 1), ('맥도날드', 1), ('최악', 1), ('일지', 1), ('서비스', 1)]",부정
22,4만원짜리 짠지. 맛없음. 감자와 햄버거를 맛없어서 남기는 건 처음 쓰레기통이 반을 먹음 ㅠㅠ 주변사람들에게 추천 해주고 싶은 마음이 1도 없고 원수한테 강력추천해드려요 나만 당할수 없으니까요 ㅋ,3.5,0.034,"[('추천', 2), ('짠지', 1), ('맛없음', 1), ('감자', 1), ('햄버거', 1), ('맛없어서', 1), ('건', 1), ('처음', 1), ('쓰레기통', 1), ('반', 1)]",부정
23,버거 정말 짜요,4.0,0.208,"[('버거', 1), ('정말', 1)]",부정
24,카운터에 서서 기다리는데 직원분 주문도 안 받고 눈도 피하길래 키오스크로 주문해야 하는 줄 알았네요. 음식 나오고 물어보니 매장식사는 키오스크 쓰면 안 된다고 갑자기 짜증을 내는데 무슨 일이야 이게..제 실수라지만 응대를 무슨 왜 포장했냐고 직원분 얼굴 앞에서 봉지 달달달 흔드는 진상 대하듯 허네요..,4.4,0.0272,"[('직원', 2), ('주문', 2), ('안', 2), ('키', 2), ('오스', 2), ('무슨', 2), ('카운터', 1), ('서서', 1), ('눈', 1), ('피', 1)]",부정
25,햄버거가 맛있어요. 햄버거만 따지면 가격도 그리 비싼 편은 아닙니다. 쉐이크는 가격 대비 별로라 절반 넘게 남겨서 아까웠어요ㅠㅠ,3.4,0.1204,"[('햄버거', 2), ('가격', 2), ('맛있어요', 1), ('비싼', 1), ('편', 1), ('아닙니다', 1), ('쉐이크', 1), ('대비', 1), ('별로', 1), ('절반', 1)]",부정
26,카운터 점원 불친절 그 자체. 주문 받을 때 뭐요? 이 ㅈ/ㄹ하는데 햄버거 먹어보기도 전에 입맛 싹 가셨네요. 경험삼아 와보고 다신 안 올 것 같네요.,4.5,0.0035,"[('카운터', 1), ('점원', 1), ('불친절', 1), ('그', 1), ('자체', 1), ('주문', 1), ('때', 1), ('뭐', 1), ('이', 1), ('햄버거', 1)]",부정
27,오늘 6월 21일날 주문 받는 직원분(여자분)(오른쪽) 1시30분정도 주문을했는데 소스를 고르라고 하셨어요. 저희가 메뉴를 봣는데 소스를 고르는 부분을 못 찻아ㅛ습니다. 직원분이 아래쪽이 있다고 2번이나 했는데. 저희 손님으로서 소스 2개 밖에 없는데 말씀해주시면 안될까요? 계속 저희에세 스스로 찾으라고  하셨어요. 그냥 바비뷰와 마스타드 소스 있다고 말해주실 수 있잖아여. 1별도 아깝군.. 메니저분 .. 직원돔 챙겨주시고 교육 좀 시켜주세용~ㅠ,3.6,0.0203,"[('소스', 4), ('직원', 3), ('주문', 2), ('저희', 2), ('있다고', 2), ('오늘', 1), ('여자', 1), ('오른쪽', 1), ('메뉴', 1), ('봣는데', 1)]",부정
28,주문 받는 여직원 불친절,1.0,0.1405,"[('주문', 1), ('여직원', 1), ('불친절', 1)]",부정
29,숵스텍,3.8,0.4542,"[('숵스텍', 1)]",중립
30, 빵이랑 고기패티랑 버섯이랑 첨부터끝까지 짠맛만입니다. 게다가 후라이도 소금범벅.후라이드 소금털어먹다 남기고나왔습니다.,4.0,0.312,"[('소금', 2), ('빵', 1), ('패티', 1), ('버섯', 1), ('첨부', 1), ('터끝', 1), ('짠맛', 1), ('입니다', 1), ('게다가', 1), ('후', 1)]",부정
31,역시 쉐이크쉑. 가격은 좀 비싸도 가격 그 이상의 가치가 있네요.. 그리고 맥주도 맛있어요. 추천.,3.7,0.9579,"[('가격', 2), ('역시', 1), ('쉐이크', 1), ('쉑', 1), ('좀', 1), ('비싸도', 1), ('그', 1), ('이상', 1), ('가치', 1), ('있네요', 1)]",긍정
32,쉐쉑\\n좋아요,1.0,0.6266,"[('쉐쉑', 1), ('좋아요', 1)]",중립
33,왜 별은 5개까지밖에 없을까요…. 정말 최고입니다ㅠㅠ,2.9,0.9678,"[('왜', 1), ('별', 1), ('개', 1), ('없을까요', 1), ('정말', 1), ('최고', 1), ('입니다', 1)]",긍정
34,맛은 당연히 있는데... 내부 공간은 넓지만 찝찝하고 배민 주문은 항상 안 됨 근처 갈 때마다 테이크아웃해와요,1.1,0.3794,"[('맛', 1), ('당연히', 1), ('있는데', 1), ('내부', 1), ('공간', 1), ('넓지만', 1), ('찝찝하고', 1), ('배민', 1), ('주문', 1), ('항상', 1)]",중립
35,맛있음. 허나 너무 양심없는 가격...꽤나 느끼하니 밀크쉐이크와 버거를 같이 먹는다면 꼭 콜라를 곁들이는 걸 추천감튀는 짭니다그리고 빵이 독특한 맛임계란빵 같은 맛진수총각은 맛나게 먹었지만 호불호 갈릴 듯,2.2,0.0891,"[('맛', 2), ('맛있음', 1), ('양심', 1), ('없는', 1), ('가격', 1), ('꽤', 1), ('느끼하니', 1), ('밀크쉐이크', 1), ('버거', 1), ('꼭', 1)]",부정
36,맛있어요!,4.6,0.9502,"[('맛있어요', 1)]",긍정
37,아 쉐이크먹고싶다,4.2,0.7259,"[('쉐이크', 1)]",긍정
38,2022.02.22. 그저 그런 신메뉴를 끼워넣고 메뉴 변동도 안되게하는 쉑데이 이벤트는 좀 아쉽네요.그래도 쉑버거와 쉐이크는 맛있습니다,4.1,0.6312,"[('메뉴', 2), ('그런', 1), ('변동', 1), ('안되게', 1), ('쉑', 1), ('데이', 1), ('이벤트', 1), ('좀', 1), ('아쉽네요', 1), ('쉑버거', 1)]",중립
39,맛있네요,3.9,0.9502,"[('맛있네요', 1)]",긍정
40,가격대비 구냥구럼,4.0,0.0614,"[('가격', 1), ('대비', 1), ('구', 1), ('럼', 1)]",부정
41,불친절 그자체 입구에 있는 직원부터 불친절함9시되니 마무리해달라고 쫓아내는듯한 어투로 말함,4.2,0.0267,"[('불친절', 1), ('자체', 1), ('입구', 1), ('있는', 1), ('직원', 1), ('불친절함', 1), ('마무리', 1), ('어투', 1), ('말함', 1)]",부정
42,매장 깔끔하고 일하시는 직원분들 다 친절했어요,5.0,0.9651,"[('매장', 1), ('깔끔하고', 1), ('일', 1), ('직원', 1), ('친절했어요', 1)]",긍정
43,맛은 있지만 여러 단점들이 커버당하진 못합니다.일단 강남점은 매장이 큰데도 자리가 없어요. 테이블 안내를 해주는 사람이 없으니 매장을 떠돌다가 사람들이 일어나면 거기로 달려가서 자리를 찜해야하는 눈치게암이 시작됩니다. 사람들을 잘 관찰하지 않으면 음식이 나와도 서서 기웃기웃해야해요.그리고 가격이.. 솔직히 유명한 수제버거중에 제일 작은거같은데 저렇게 시켰더니 거의 4만원 나왔어요. 그럼에도 맛은 있어서 생각날때 가끔 가게 되네요.,5.0,0.9097,"[('사람', 3), ('맛', 2), ('매장', 2), ('자리', 2), ('있지만', 1), ('여러', 1), ('단점', 1), ('커버', 1), ('당하진', 1), ('일단', 1)]",긍정
44,예전엔 괜찮았던것 같은데 비싼 가격에 비해 맛이 별로..,4.4,0.0081,"[('예전', 1), ('괜찮았던것', 1), ('같은데', 1), ('비싼', 1), ('가격', 1), ('맛', 1), ('별로', 1)]",부정
45,짱 마싯더욤 ㅎㅎㅎ,4.7,0.9334,"[('짱', 1), ('마싯더욤', 1)]",긍정
46,가격에 비해 맛이.... 버거킹이 더 맛잇는건 뭐지,1.1,0.0698,"[('맛', 2), ('가격', 1), ('버거킹', 1), ('더', 1), ('뭐', 1)]",부정
47,먹을만해융,4.3,0.7856,"[('만해', 1), ('융', 1)]",긍정
48,알바싸가지없음,5.0,0.0612,"[('알바', 1), ('싸가지', 1), ('없음', 1)]",부정
49,맛있어요주문받는 직원은 불친절해요. 카드결제하고 난후 카드를 저한테 던지더라구요~저한테만 그랬길 바랍니다.,3.7,0.2579,"[('카드', 2), ('맛있어요', 1), ('주문', 1), ('직원', 1), ('불친절해요', 1), ('결제', 1), ('난후', 1), ('저', 1), ('테', 1), ('그랬길', 1)]",부정
50,가성비는 별로지만 맛은 있었어요. 쇠고기맛이 아주 가득한 버거. 바닐라밀쉐에 감튀도 굿. 잘하는 수제버거집이 여기보다 맛있긴 함.,4.0,0.8677,"[('맛', 2), ('버거', 2), ('가성', 1), ('별로', 1), ('있었어요', 1), ('쇠고기', 1), ('아주', 1), ('가득한', 1), ('바닐라', 1), ('밀쉐', 1)]",긍정
51,햄버거는 쉑쉑이 최고기름지고 뜨끈하고 촉촉한 맛ㅠ 번도 맛있음,4.0,0.9857,"[('햄버거', 1), ('쉑쉑', 1), ('최고', 1), ('뜨끈하고', 1), ('촉촉한', 1), ('맛', 1), ('번', 1), ('맛있음', 1)]",긍정
